time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.821940395061095e-07,-4.858137073881207e-08,10.007978661724481,6.283163377108256,0.00039822563485714113,0.0,-6.301282526460302e-05,-3.4700446633927376e-06,0.2659308666553849,-0.0007310337575027475,0.013274536318261303,0.0,485.682995999631,486.6773306060384,487.26982789943594,487.21519061621734
0.12000000000000001,-1.630986163345011e-05,-2.278171781117745e-06,10.02918632103365,6.28244616655407,0.0007627657411228839,0.0,-0.0005087403544857954,-0.00012658392675781905,0.4409392308206046,-0.023176197959317083,-0.0011233211783468061,0.0,460.7506824427128,459.6110694780532,461.07036290939925,459.2940434167776
0.18,-6.28242071552173e-05,-3.102235870783014e-05,10.059406146083337,6.281163570935815,0.000650887466011163,0.0,-0.0010314324208550796,-0.0009709672185025767,0.5663337524561756,-0.019577155098850583,-0.002606006008790267,0.0,445.14520321265917,445.02391049711616,444.98556122342404,445.28002077766695
0.23999999999999996,-0.0001361727966947276,-0.0001298215100714645,10.094191639203416,6.280492393317388,0.00048170989628282257,0.0,-0.0013984771664088702,-0.002398801599532938,0.5931687497214994,-0.0027957073407656203,-0.003033258295310407,0.0,412.9310645045896,412.8934334603399,413.10422437012227,414.5811946393919
0.3,-0.00022842640964288512,-0.0003309633263349345,10.132787945647593,6.279806648849858,6.282973711904495,0.0,-0.0016232745029622392,-0.004358118679058551,0.6933187413926858,-0.020062554478475454,-0.02007701834238666,0.0,439.1936278609634,437.77803719950816,436.89041281008394,435.44867349841576
0.36000000000000004,-0.00031646666611766304,-0.0006704927211637946,10.178285546996685,6.278385163287567,6.281775884709848,0.0,-0.0011837159786948258,-0.007102779810971472,0.8231823491257734,-0.02731994949930891,-0.019850563496862907,0.0,447.3432853720763,447.36175375831203,446.5205592105216,445.9281658703995
0.4200000000000001,-0.00034869821578902693,-0.001215113483815642,10.23315246788489,6.276552798158754,6.280042014717274,0.0,0.0002864344275634269,-0.011252414640585748,1.0055707159666816,-0.03375840811683687,-0.037944013321423456,0.0,464.4501184594592,463.0289403815542,462.54048244289834,462.0329887615706
0.48000000000000015,-0.00025870277097931937,-0.0020354321252901535,10.296465141673979,6.274212974318949,6.278189863435555,0.0,0.0029162122204525326,-0.016318607079339846,1.1047582859487284,-0.04423459918986954,-0.023795652300813284,0.0,436.55498855157145,437.7333457686918,438.6526956018323,437.7812846265663
0.5400000000000001,4.4756065236285574e-05,-0.0032465299074910673,10.369645069112984,6.271738452691901,6.277072846000108,0.0,0.007345743990516932,-0.024356156841356176,1.3343293602948805,-0.03825019762211575,-0.01343864996280237,0.0,476.25289601877,477.04435827046575,478.0702804053183,478.5251612920912
0.6000000000000002,0.0006392783149332046,-0.004997360983975372,10.456578103380629,6.270283973406441,6.276191997594921,0.0,0.012573512859790088,-0.03421152996117506,1.5631507844429655,-0.010234440922862098,-0.015922930718891518,0.0,477.5885451467782,477.399170219693,476.99059306715384,479.1248680605169
0.6600000000000003,0.0015137190216592336,-0.007265142544880832,10.549335207458135,6.270589292445738,6.274676592508383,0.0,0.01668396846736625,-0.041381925006053005,1.5287985070901764,0.020412280151241635,-0.034589642094043895,0.0,396.13245245499155,394.4122083320776,392.35002132933226,395.1848909127403
0.7200000000000003,0.002711963177602649,-0.01002059057213101,10.645502298207168,6.272249985216231,6.272245078122722,0.0,0.023507922780798128,-0.05029861620741264,1.6765656051554256,0.034943298401087335,-0.04645951914794791,0.0,454.1118289367998,453.1580570882117,453.99526243899606,455.15968933722115
0.7800000000000004,0.0043750499745225215,-0.013269927572959797,10.750457607037982,6.274809252408714,6.269283847474096,0.0,0.03224130229533651,-0.057749053825183874,1.8217234008820327,0.05036380228001962,-0.052247300773445075,0.0,453.8044506286877,453.3382769810917,453.3100600806543,454.54823117883495
0.8400000000000004,0.006609950218309321,-0.01689810466217671,10.862846838954962,6.2772719482063835,6.2661558834704465,0.0,0.04257344980810955,-0.06291777077877549,1.924414084320249,0.03172855578934747,-0.052018204143383644,0.0,440.7613018214447,440.77844473549,442.04694240452403,440.5098844350232
0.9000000000000005,0.00952956800528786,-0.02078741350874836,10.981397211973494,6.279860531727099,6.263069301845711,0.0,0.05506121106684354,-0.06648337257359582,2.0270837809659015,0.05455493776445891,-0.05086803843256127,0.0,441.2402023163291,441.3334023360263,440.55084104722965,442.4349244270574
0.9600000000000005,0.013264637704013154,-0.024833866310102027,11.106215501157457,6.2827981100932355,6.259950449246251,0.0,0.06975576628349826,-0.06808421693878398,2.133327279604081,0.043366135975135785,-0.05309335126777626,0.0,443.3196675850625,443.1350672678409,443.05084535425624,442.1316825903522
1.0200000000000005,0.01788431235345732,-0.028916967386651,11.234788666914826,0.0024794698966434936,6.256825635130404,0.0,0.08451558126471441,-0.06776920729342517,2.1524016802552777,0.05218815688916187,-0.05106746052091772,0.0,415.55307336261455,415.72862007338625,414.08736996004683,414.86412118877803
1.0800000000000005,0.02350373705830863,-0.03292052979395994,11.36659504588994,0.0059822640099094215,6.253061801843366,0.0,0.10314798589203635,-0.06534471095002864,2.240963152734643,0.0645693880479429,-0.07438915996992063,0.0,438.7071652764797,436.7639775781636,437.44604128885555,438.4780100043103
1.1400000000000006,0.03044029054414516,-0.036681037933982336,11.507474939488064,0.009432288583990811,6.247534329848431,0.0,0.1286713154648327,-0.05958215053303478,2.454575918489414,0.050434171579259494,-0.10984932356895906,0.0,477.2206335268425,474.5006207550194,477.3801201328449,476.3026324230209
