episode,total_reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,-424.54557008100073,1.8495508837462697,-0.29600809023522323,0.0,-1.6963186355346522,2.9977478274901443,0.0,5.383659222043158,1.1222007867590855,-4.352025018630148,-5.959432180206662,-6.814170808274434,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
2,-424.4810025502478,1.854131354623887,-0.29801720633577655,0.0,-1.687435231784308,3.0172808994077425,0.0,5.41999726057753,1.0991710275973152,-4.347926207164967,-5.943237488627021,-6.789840762855039,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
3,-424.6018297816693,1.8551177311195421,-0.30476865648915064,0.0,-1.724426045702721,3.0098560636621574,0.0,5.418419523922023,1.1139262344383207,-4.297251747256072,-6.02084000098545,-6.790429728653892,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
4,-424.5313185900431,1.854654257441584,-0.2960987812044178,0.0,-1.6900239191051352,3.0109879832283575,0.0,5.41021160498545,1.110094655561617,-4.360792168888393,-5.974360372514846,-6.788816846590154,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
5,-424.27657526487394,1.335633060952974,-0.44284132509900875,0.0,-1.637229222056467,-3.1108614511626875,0.0,4.296866370650134,-0.07215452521590932,-3.947561823616613,-3.385781200910561,-12.122387436212069,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
6,-229.94251179290427,0.2511150669507892,-0.03610572134855915,0.0,2.4789711162097205,1.7930163037782343,0.0,0.7266314208305287,-0.9479751480522361,-3.374461087198268,17.716241083951665,-12.785557199425371,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
7,-232.9404567534962,0.5235258429215853,0.39739669619059975,0.0,2.87002148280186,2.757594306836623,0.0,3.1008729749322903,0.5255800959730106,-3.945325794450332,26.39971598001048,-14.275098972289117,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
8,-327.7267388230419,0.8297641380828822,1.0876115652281342,0.0,-1.910463391142521,-1.240661243322755,0.0,1.3981059281663164,0.4974077766069676,-3.869211712497134,0.45446842002565235,-13.112305239133212,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
9,-457.2665112495764,2.8083786222231653,6.127583860176886,0.0,2.991417219158137,-1.4703344036978105,0.0,9.444608151859743,11.817383685705746,-6.694558118674008,2.1833986471037443,-3.2680588356075835,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
10,-287.0207572750314,0.16316544769374663,2.4993342361039947,0.0,-2.8563684991456775,-0.4122089807353859,0.0,1.2382156686359498,7.599102122836468,-8.312735456468143,4.216422078322356,-3.612067039581577,0.0,430.20390116579915,432.6316422852896,431.56470308487724,429.48369501256724
